"osasuna","0","0","9","6","6","6"
"valencia","1","2","10","3","4","3"
"atletico","0","0","10","8","9","7"
"sporting","1","0","10","19","19","19"
"granada","0","0","11","16","16","17"
"barcelona","0","0","13","2","2","2"
"sevilla","1","1","13","10","10","9"
"mallorca","0","0","0","0","0","0"
"zaragoza","1","0","0","0","0","0"
"levante","0","0","0","0","0","0"
"athletic","1","1","19","15","20","18"
"betis","0","0","19","8","13","9"
"atletico","1","0","19","2","2","2"
"valladolid","0","1","20","7","13","9"
"rayo","1","2","20","10","12","8"
"malaga","1","1","19","3","3","3"
"sociedad","0","2","19","14","15","13"
"osasuna","1","0","18","20","20","20"
"valencia","0","0","19","9","9","11"
"getafe","1","0","20","10","14","10"
"granada","0","1","20","18","17","16"
"sevilla","1","1","20","11","10","7"
"madrid","0","1","19","3","3","3"
"deportivo","1","2","19","20","20","19"
"barcelona","0","0","18","1","1","1"
"celta","1","2","18","15","17","15"
"mallorca","1","2","16","18","16","16"
"zaragoza","0","1","15","13","13","13"
"levante","1","2","15","8","8","8"
"athletic","0","2","14","13","13","14"
"betis","1","2","13","8","5","5"
"atletico","0","0","12","2","2","2"
"valladolid","1","1","13","11","13","10"
"rayo","0","0","13","9","8","7"
"malaga","0","2","13","4","4","4"
"sociedad","1","1","13","4","5","6"
"osasuna","0","2","12","15","15","15"
"valencia","1","1","12","5","6","5"
"getafe","0","2","11","8","8","8"
"granada","1","0","10","17","17","16"
"sevilla","0","0","11","10","11","10"
"madrid","1","1","11","2","2","2"
"deportivo","0","0","11","18","18","17"
"barcelona","1","0","11","1","1","1"
"celta","0","0","12","18","20","19"
"celta","0","1","0","0","0","0"
"valencia","1","2","0","0","0","0"
"betis","1","1","0","0","0","0"
"granada","0","2","6","9","9","7"
"athletic","1","2","6","5","5","3"
"villarreal","0","0","5","4","3","3"
"getafe","1","0","6","9","15","14"
"elche","0","0","7","7","8","7"
"atletico","1","2","8","2","2","2"
"levante","0","0","7","9","9","9"
"malaga","1","1","8","16","13","10"
"barcelona","0","0","8","1","1","1"
"sevilla","1","0","10","14","11","10"
"rayo","0","2","12","18","20","19"
"sociedad","1","0","9","6","7","7"
